seed steps value exec_time
323 20000 2010.08 90.0
323 25000 2002.25 117.0
323 50000 1999.14 253.0
323 75000 1992.38 368.0
323 100000 1983.17 516.0
323 125000 2000.4 634.0
323 150000 2012.03 759.0
323 175000 1994.03 890.0
323 200000 1971.9 1061.0
323 400000 1994.68 2103.0
323 600000 1988.73 3347.0
323 800000 1972.35 4318.0
323 1000000 1992.25 4082.0
323 1500000 2008.83 4201.0
91 100 3206.36 1.0
91 500 2670.34 2.0
91 800 2549.77 3.0
91 1000 2519.72 4.0
91 1200 2421.65 4.0
91 1500 2296.97 6.0
91 1700 2351.21 7.0
91 2000 2210.2 9.0
91 2200 2140.73 9.0
91 2500 2084.44 10.0
91 2700 2093.99 11.0
91 3000 2072.87 12.0
91 3200 2085.58 13.0
91 3500 2040.34 15.0
91 3700 2091.0 16.0
91 4000 2021.7 17.0
91 4500 2031.82 19.0
91 5000 2027.55 21.0
91 6000 1985.55 29.0
91 7000 1988.74 29.0
91 8000 1995.01 39.0
91 9000 1956.03 43.0
91 10000 1964.14 46.0
91 12000 1960.24 56.0
91 15000 1952.59 71.0
91 20000 1926.26 96.0
91 25000 1925.43 121.0
91 50000 1907.61 244.0
91 75000 1908.02 362.0
91 100000 1911.22 512.0
91 125000 1909.24 630.0
91 150000 1903.71 752.0
91 175000 1901.52 921.0
91 200000 1910.25 1052.0
91 400000 1909.28 2175.0
91 600000 1908.17 3398.0
91 800000 1903.37 4520.0
91 1000000 1910.09 4171.0
91 1500000 1903.72 4055.0
113 100 3516.06 0.0
113 500 2771.58 2.0
113 800 2624.11 3.0
113 1000 2525.83 4.0
113 1200 2413.33 4.0
113 1500 2335.3 7.0
113 1700 2241.44 7.0
113 2000 2224.54 8.0
113 2200 2230.63 9.0
113 2500 2161.62 10.0
113 2700 2219.88 13.0
113 3000 2122.74 13.0
113 3200 2111.35 14.0
113 3500 2121.82 15.0
113 3700 2108.66 15.0
113 4000 2042.84 16.0
113 4500 2080.91 21.0
113 5000 2042.17 20.0
113 6000 2043.68 24.0
113 7000 2081.59 29.0
113 8000 2026.44 35.0
113 9000 2016.95 38.0
113 10000 2041.36 41.0
113 12000 1990.99 53.0
113 15000 1992.24 66.0
113 20000 2013.9 92.0
113 25000 1992.96 121.0
113 50000 2008.08 247.0
113 75000 1975.3 350.0
113 100000 1983.13 461.0
113 125000 1962.4 630.0
113 150000 1975.74 717.0
113 175000 1974.92 874.0
113 200000 1985.62 999.0
113 400000 1983.5 2106.0
113 600000 1968.88 3334.0
113 800000 1979.85 4097.0
113 1000000 1956.02 4155.0
113 1500000 1961.67 4422.0
131 100 3385.51 0.0
131 500 2921.07 3.0
131 800 2786.3 3.0
131 1000 2662.88 4.0
131 1200 2534.8 5.0
131 1500 2499.0 6.0
131 1700 2461.86 7.0
131 2000 2461.32 9.0
131 2200 2391.36 9.0
131 2500 2436.44 10.0
131 2700 2372.67 11.0
131 3000 2298.69 12.0
131 3200 2320.79 14.0
131 3500 2307.22 16.0
131 3700 2295.2 16.0
131 4000 2256.22 17.0
131 4500 2275.73 20.0
131 5000 2235.76 21.0
131 6000 2230.77 26.0
131 7000 2191.22 33.0
131 8000 2187.61 37.0
131 9000 2229.75 43.0
131 10000 2206.95 46.0
131 12000 2216.24 53.0
131 15000 2205.09 80.0
131 20000 2179.26 95.0
131 25000 2169.36 120.0
131 50000 2184.11 247.0
131 75000 2151.96 387.0
131 100000 2156.55 524.0
131 125000 2194.72 637.0
131 150000 2190.59 781.0
131 175000 2181.9 902.0
131 200000 2172.37 1050.0
131 400000 2171.56 2161.0
131 600000 2180.43 3293.0
131 800000 2161.14 4148.0
131 1000000 2171.93 4380.0
131 1500000 2182.44 3991.0
234 100 3501.98 0.0
234 500 3072.43 2.0
234 800 2763.68 4.0
234 1000 2675.88 5.0
234 1200 2591.51 6.0
234 1500 2495.22 6.0
234 1700 2503.22 7.0
234 2000 2380.49 9.0
234 2200 2350.65 9.0
234 2500 2353.76 10.0
234 2700 2314.28 11.0
234 3000 2282.23 12.0
234 3200 2278.72 13.0
234 3500 2264.71 14.0
234 3700 2291.29 21.0
234 4000 2235.12 18.0
234 4500 2226.47 20.0
234 5000 2190.43 23.0
234 6000 2198.27 27.0
234 7000 2190.11 32.0
234 8000 2197.98 39.0
234 9000 2193.26 41.0
234 10000 2189.46 42.0
234 12000 2164.96 52.0
234 15000 2172.5 70.0
234 20000 2156.51 100.0
234 25000 2162.3 115.0
234 50000 2187.57 236.0
234 75000 2159.3 393.0
234 100000 2146.94 518.0
234 125000 2148.23 659.0
234 150000 2144.88 789.0
234 175000 2159.04 926.0
234 200000 2154.45 1043.0
234 400000 2139.98 2224.0
234 600000 2158.49 3212.0
234 800000 2148.97 4409.0
234 1000000 2147.65 4037.0
234 1500000 2144.76 3976.0
