seed nCentros nGrupos steps costSA exec_timeSA
240 30 600 1000 29736.4 165.0
240 35 700 1000 35605.85 213.0
240 5 100 5000 2252.69 25.0
240 10 200 5000 5381.41 51.0
240 15 300 5000 9471.55 80.0
240 20 400 5000 13102.23 127.0
240 25 500 5000 16873.28 186.0
240 30 600 5000 21673.58 267.0
240 35 700 5000 26302.99 269.0
240 5 100 10000 2103.94 47.0
240 10 200 10000 4745.13 89.0
240 15 300 10000 7695.81 127.0
240 20 400 10000 10949.59 218.0
240 25 500 10000 14493.98 275.0
240 30 600 10000 17859.67 387.0
240 35 700 10000 21952.64 439.0
240 5 100 30000 2071.11 133.0
240 10 200 30000 4240.6 227.0
240 15 300 30000 6304.32 330.0
240 20 400 30000 8774.2 445.0
240 25 500 30000 11442.12 565.0
240 30 600 30000 13856.6 723.0
240 35 700 30000 16780.73 936.0
240 5 100 60000 2086.72 260.0
240 10 200 60000 4234.66 475.0
240 15 300 60000 6021.04 707.0
240 20 400 60000 8209.21 826.0
240 25 500 60000 10620.38 1056.0
240 30 600 60000 12720.4 1714.0
240 35 700 60000 15049.0 1544.0
240 5 100 120000 2060.38 541.0
240 10 200 120000 4221.51 897.0
240 15 300 120000 5956.96 1245.0
240 20 400 120000 8022.05 1616.0
240 25 500 120000 10218.33 2007.0
240 30 600 120000 12195.98 2831.0
240 35 700 120000 14345.33 2784.0
240 5 100 500000 2089.39 800.0
240 10 200 500000 4192.48 1098.0
240 15 300 500000 5969.6 1526.0
240 20 400 500000 7939.3 2020.0
240 25 500 500000 10111.67 2800.0
240 30 600 500000 12031.42 2947.0
240 35 700 500000 14162.7 3806.0
240 5 100 1000000 2096.87 652.0
240 10 200 1000000 4179.9 1105.0
240 15 300 1000000 5951.7 1513.0
240 20 400 1000000 7951.4 1966.0
240 25 500 1000000 10058.4 2497.0
240 30 600 1000000 12146.56 2879.0
240 35 700 1000000 14135.72 3410.0
240 5 100 2000000 2112.13 646.0
240 10 200 2000000 4182.43 1119.0
240 15 300 2000000 5934.08 1520.0
240 20 400 2000000 7971.9 1928.0
240 25 500 2000000 10137.67 2748.0
240 30 600 2000000 12055.75 2878.0
240 35 700 2000000 14176.62 3376.0
180 5 100 1000 3164.96 7.0
180 10 200 1000 7539.79 19.0
180 15 300 1000 11891.02 37.0
180 20 400 1000 16832.96 62.0
180 25 500 1000 22210.59 92.0
180 30 600 1000 27404.92 129.0
180 35 700 1000 32328.81 172.0
180 5 100 5000 2471.29 25.0
180 10 200 5000 5262.57 46.0
180 15 300 5000 8763.44 72.0
180 20 400 5000 12585.47 108.0
180 25 500 5000 16153.62 147.0
180 30 600 5000 20328.68 201.0
180 35 700 5000 25024.1 250.0
180 5 100 10000 2417.83 46.0
180 10 200 10000 4807.09 82.0
180 15 300 10000 7382.61 120.0
180 20 400 10000 10661.82 180.0
180 25 500 10000 14181.49 220.0
180 30 600 10000 17773.55 277.0
180 35 700 10000 21084.15 366.0
180 5 100 30000 2379.09 139.0
180 10 200 30000 4311.88 223.0
180 15 300 30000 6494.17 317.0
180 20 400 30000 8952.13 430.0
180 25 500 30000 11351.05 540.0
180 30 600 30000 13622.24 657.0
180 35 700 30000 16326.62 917.0
180 5 100 60000 2364.7 275.0
180 10 200 60000 4289.93 434.0
180 15 300 60000 6239.05 623.0
180 20 400 60000 8447.2 947.0
180 25 500 60000 10661.35 1019.0
180 30 600 60000 12775.45 1284.0
180 35 700 60000 14931.62 1865.0
180 5 100 120000 2358.23 599.0
180 10 200 120000 4260.88 1009.0
180 15 300 120000 6157.55 1426.0
180 20 400 120000 8266.24 1627.0
180 25 500 120000 10273.09 2328.0
180 30 600 120000 12162.53 2536.0
180 35 700 120000 14210.57 2906.0
180 5 100 500000 2399.58 826.0
180 10 200 500000 4350.25 1265.0
180 15 300 500000 6114.36 1875.0
180 20 400 500000 8252.11 2017.0
180 25 500 500000 10153.94 3105.0
180 30 600 500000 11969.61 3281.0
180 35 700 500000 14016.03 3755.0
180 5 100 1000000 2372.08 759.0
180 10 200 1000000 4248.3 1143.0
180 15 300 1000000 6185.67 1566.0
180 20 400 1000000 8236.08 2196.0
180 25 500 1000000 10167.9 2617.0
180 30 600 1000000 12033.95 3174.0
180 35 700 1000000 14000.51 4071.0
180 5 100 2000000 2373.13 734.0
180 10 200 2000000 4282.87 1267.0
180 15 300 2000000 6111.5 1586.0
180 20 400 2000000 8216.07 2169.0
180 25 500 2000000 10106.0 2388.0
180 30 600 2000000 12085.41 2944.0
180 35 700 2000000 14054.95 3332.0
